"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1873736661957505415","Mon Dec 30 14:23:27 +0000 2024","2","Kadang bingung dgn gen Z. Untuk company yg cukup bagus untuk meningkatkan skil experience network dan carier path. Apa gaji 7 juta di Semarang buat fresh grad masih kurang dan setidak menarik itukah ? Ketika aku tanya mrk mending gabut dirumah drpd ambil opportunity","1873736661957505415","","","in","Kota Semarang, Jawa Tengah","0","1","0","https://x.com/radenmasabimana/status/1873736661957505415","1780425519198240768","radenmasabimana"
"1873633872555954422","Mon Dec 30 07:35:00 +0000 2024","0","Kesenjangan Harapan Gaji dan Realita Dunia Kerja untuk Gen Z https://t.co/XrS5L6hCpF","1873633872555954422","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/the_geotimes/status/1873633872555954422","2366754955","the_geotimes"
"1873533058131120512","Mon Dec 30 00:54:24 +0000 2024","0","penat tau layan gen z sekarang ni nak gaji besar tapi xnak tanggungjawab besar xleh kena tegur xleh pushy...mampuih","1873533058131120512","","","in","Kajang, Selangor","0","0","0","https://x.com/ameersic/status/1873533058131120512","3246120229","ameersic"
"1873262145099747765","Sun Dec 29 06:57:53 +0000 2024","0","gaji gen z abis sama apk premium","1873262145099747765","","","in","Jakarta Capital Region","0","1","0","https://x.com/bbbilabil/status/1873262145099747765","1114325025190846464","bbbilabil"
"1873065921063145803","Sun Dec 29 02:52:47 +0000 2024","0","@Heraloebss Ga mungkin bisa..gen Z maunya gaji seperti di eropa..minimal 50 juta/bln.","1873200461387628944","","Heraloebss","in","Tanjung Priok, Indonesia","0","1","0","https://x.com/G3nX_files/status/1873200461387628944","1347031551771430912","G3nX_files"
"1872861328521515458","Sat Dec 28 18:34:25 +0000 2024","0","@worksfess Sama tampilan rapih itu point plus hr bgt sih harus rapih dan wangi. Aktif bertanya apalagi hr nya gen z. Usahakan perusahaan tsb bisa umr apa engga. Karna biasanya kalah sama yang offer gaji lebih rendah dr pd kita","1873075045767233945","","ElzLn_","in","","0","0","0","https://x.com/ElzLn_/status/1873075045767233945","1613562490063065089","ElzLn_"
"1872924955467563144","Sat Dec 28 08:38:01 +0000 2024","0","Ga sengaja denger 2 anak gen z ngobrol ttg masuk kerja 2 hari di salah satu resto jogja. Gw gatau ya apa krn pas liburan atau emg ketentuan jam kerjanya tp 10 jam loh. Hah? Gmn? 10 jam kerja? Emg wajar ya? Gaji umr jogja lah ya gausah ditanya tp gatau dpt benefit apalagi","1872924955467563144","","","in","Indonesia","0","1","0","https://x.com/_dechan/status/1872924955467563144","89887542","_dechan"
"1872297130943271362","Sat Dec 28 04:05:30 +0000 2024","1","@Sahlan_Holic @tama_dewantara @CsKojer @labiebsadat Terus maunya apa di bilang sty mundur salah sty bertahan juga salah..di kasi Target salah ? Terus buat apa bayar mahal gaji STY sebagai pelatih Target itu perjuangkan kalo tidak mau berjuang ga usah kompitisi Pergi ke eropa biar sadar mental eropa itu bagaimana","1872856375958872378","","Sahlan_Holic","in","","1","1","1","https://x.com/alexand66298416/status/1872856375958872378","1636511635904012289","alexand66298416"
"1872715731726709119","Fri Dec 27 18:46:38 +0000 2024","1","gw banget.... gaji blm segede umr tokyo tapi daily expenses buat makan 60-80an.. blm lagi kalo keluar paling ga 150-200an buat makan doang lagian gmn ye wak mo ditabung2 pun ttep susah buat gen Z mau beli rumah wong diporotin terus sm pemerintah korup","1872715731726709119","","","in","","0","1","0","https://x.com/min00xs/status/1872715731726709119","1610242667400818688","min00xs"
"1872686420176806139","Fri Dec 27 16:52:50 +0000 2024","25","@convomf Gini nder kebanyakan dari kita marah karena ada alasan tertentu contohnya soalnya gaji yg kurang dan lapangan kerja masih sedikit. Belum gen z yg ngeluh klo nyari kerja kriterianya terlalu wow jdi seolah mereka bergantung banget sama kita. Dan kek skrng aja nyari kerja susah","1872687093509701800","","convomf","in","","0","1","0","https://x.com/kimichaell/status/1872687093509701800","1679452962614312960","kimichaell"
