"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1872561935121854831","Fri Dec 27 08:35:32 +0000 2024","2","2. Krisis Global: Generasi Z telah tumbuh dalam bayang-bayang peristiwa-peristiwa signifikan seperti ancaman perubahan iklim lockdown pandemi COVID-19 dan ketidakpastian ekonomi. Pengalaman ini dapat memengaruhi pandangan dan nilai-nilai mereka. 3. Kesehatan Mental: Beberapa https://t.co/JMvWwvyTFX","1872561945200726121","https://pbs.twimg.com/media/GfyooJdbwAEi2_i.jpg","suvppreme","in","handle by admin","0","1","0","https://x.com/suvppreme/status/1872561945200726121","881905749642821634","suvppreme"
"1870787037475098646","Sun Dec 22 11:02:41 +0000 2024","0","Generasi Z semakin sadar akan pentingnya kesehatan mental di era penuh tekanan dan perubahan cepat. Apa saja yang menjadi perhatian utama mereka di tahun 2024? #KesehatanMental #GenerasiZ #Fokus2024 #MentalHealthAwareness #SelfCareGeneration https://t.co/5C28xgNN9x","1870787037475098646","","","in","Jakarta Capital Region","0","0","0","https://x.com/IdMulamula75584/status/1870787037475098646","1787417069354696704","IdMulamula75584"
"1870683982914011352","Sun Dec 22 04:13:12 +0000 2024","1","Menurut Data dari Cigna juga nunjukin kalau Gen Z adalah generasi dengan tingkat kecemasan tertinggi dibanding generasi lain. Jangan sampe mental lo terganggu waktunya jaga kesehatan mental dan fokus ke solusi! #MentalHealthMatters #GenZStruggles #MentalWellness","1870683984663073073","","AndilalaPratmaa","in","Indonesia","0","0","0","https://x.com/AndilalaPratmaa/status/1870683984663073073","1451196519877464068","AndilalaPratmaa"
"1869602095944659076","Thu Dec 19 04:34:09 +0000 2024","0","Generasi Z (Gen Z) yang lahir pada 1997-2012 diketahui memiliki masalah kesehatan mental. Hal ini berdasarkan Survei Kesehatan Indonesia tahun 2023. Angka yang mencapai 60 persen itu lonjakan tajam dibandingkan pada generas-generasi terdahulu. https://t.co/MLDVhUmZZJ","1869602095944659076","","","in","","0","0","0","https://x.com/heralddotID/status/1869602095944659076","1698580133068865536","heralddotID"
"1869291318285070687","Wed Dec 18 07:59:14 +0000 2024","9","Halo sobat edukasi Generasi Z sering di sebut generasi yang gampang stress padahal kesehatan mental sangatlah penting. Kesehatan mental adalah aset berharga yang perlu dijaga sejak usia muda. Dengan memahami pentingnya kesehatan mental dan menerapkan kebiasaan hidup sehat-- https://t.co/jkWxrj1TEr","1869291318285070687","https://pbs.twimg.com/media/GfEOi-EaMAAoRSg.jpg","","in","Indonesia","1","4","5","https://x.com/DutaEdukasiid/status/1869291318285070687","1771157494699859968","DutaEdukasiid"
"1869250489570984429","Wed Dec 18 05:17:00 +0000 2024","2","Kesehatan mental terpilih sebagai Kata Tahun Ini 2024. Generasi Z menunjukkan perhatian tinggi tetapi perlu literasi yang baik untuk menghindari misinformasi nih. https://t.co/xYpODhJHdE","1869250489570984429","","","in","","0","0","0","https://x.com/detikcom/status/1869250489570984429","69183155","detikcom"
"1869163072369102953","Tue Dec 17 23:29:38 +0000 2024","2","Kesehatan mental terpilih sebagai Kata Tahun Ini 2024. Generasi Z menunjukkan perhatian tinggi tetapi perlu literasi yang baik untuk menghindari misinformasi. https://t.co/7vGxAEhg8b","1869163072369102953","","","in","Jakarta - Indonesia","0","0","0","https://x.com/detikHealth/status/1869163072369102953","104446991","detikHealth"
"1868868505237692559","Tue Dec 17 04:17:56 +0000 2024","1","Detoks Media Sosial Beberapa Gen Z memilih untuk membatasi waktu di media sosial menyadari dampaknya terhadap kesehatan mental mereka. Sebuah Generasi yang Sedang Berjuang Gen Z adalah generasi yang tumbuh di tengah badai krisis global dari perubahan iklim hingga https://t.co/bNtVrBnIc4","1868873237297610805","https://pbs.twimg.com/media/Ge-STHqbwAQL03e.jpg","yeerimc","in","","0","0","0","https://x.com/yeerimc/status/1868873237297610805","964909715665780736","yeerimc"
"1867948681057689962","Sat Dec 14 15:04:05 +0000 2024","0","Nama : Archie Huga Wijaya NIM : 2300023067 SESI : Materi 3 Materi ini membahas tentang kesehatan mental pada generasi z atau gen-z dan kita diajarkan untuk fokus pada tujuan yang lebih besar dan tidak fokus pada kendala. #Bamahasiswa #Weareuad #islamberkemajuan https://t.co/vu8FBwvFnq","1867948681057689962","https://pbs.twimg.com/media/GexJazAaoAAc94K.jpg","","in","","0","0","0","https://x.com/archie_aja/status/1867948681057689962","1865325152864702465","archie_aja"
"1863491680462426236","Mon Dec 02 07:53:33 +0000 2024","1","Remaja 14 Tahun Bunuh Ayah dan Nenek Benarkah Gen Z Generasi Rentan Kena Kesehatan Mental? https://t.co/u4Z9l0gK8u","1863491680462426236","","","in","Indonesia","0","4","0","https://x.com/KompasTV/status/1863491680462426236","71436318","KompasTV"
