"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1798135694315196924","Tue Jun 04 23:32:11 +0000 2024","0","MIRISBonus Demografi atau Bencana Demografi 2020-2030⁉️Pasalnya Kesehatan MENTAL Generasi Z dan MILENIAL sangatlah LEMAH‼️ Video ini menjelaskan PENTINGNYA MENANAMKAN SPIRITUALITAS dalam UPAYA Merawat MENTAL HEALTH GENERASI MUDA 🇲🇨 https://t.co/JajlIohuTL","1798135694315196924","","","in","","0","0","0","https://x.com/skjenius/status/1798135694315196924","1270931904737370112","skjenius"
"1795066764226695557","Mon May 27 12:17:39 +0000 2024","0","4). Usia Muda Lebih Kreatif. Perusahaan membatasi usia untuk posisi tertentu sebab ingin mencari kandidat yang memiliki pola pikir yang segar dan kreatif. Saat ini generasi Z dianggap lebih kreatif sehingga mampu beradaptasi dengan adanya perkembangan teknologi yang lebih maju.","1795066839069798511","","majalahsunday","in","Kelapa Gading, North Jakarta","0","1","0","https://x.com/majalahsunday/status/1795066839069798511","180240682","majalahsunday"
"1794412943821635764","Sat May 25 16:59:19 +0000 2024","0","Memang bagus generasi z aware terhadap kesehatan mental tetapi mereka dianggap menyebalkan oleh para generasi sebelumnya karena terbiasa dengan didikan militer dan silent treatment. Generasi z harus mengambil sisi baik dari generasi sebelumnya yaitu sikap ketangguhannya.","1794412947693072562","","majalahsunday","in","Kelapa Gading, North Jakarta","0","0","0","https://x.com/majalahsunday/status/1794412947693072562","180240682","majalahsunday"
"1793185717478154696","Wed May 22 07:42:45 +0000 2024","0","Generasi Z dikenal dengan kesadaran mereka akan pentingnya keseimbangan antara kehidupan pribadi dan profesional. Mereka tidak ingin terjebak dalam situasi yang mengorbankan kebahagiaan dan kesehatan mental mereka demi pekerjaan. https://t.co/49RQxnfNJc","1793185717478154696","","","in","Jakarta-Indonesia","0","0","0","https://x.com/ossekiki/status/1793185717478154696","310370564","ossekiki"
"1792542877073183152","Mon May 20 13:08:20 +0000 2024","0","Generasi Z hidup di tengah perubahan cepat dan tekanan digital yang intens. Ayo kita bahas beberapa gangguan psikologis yang mereka hadapi dan cara-cara efektif untuk mendukung kesehatan mental mereka. A Thread- https://t.co/15mmjU0nX6","1792542877073183152","https://pbs.twimg.com/media/GOBkOPnb0AEsdQW.jpg","","in","","1","1","0","https://x.com/slicexofxlifes/status/1792542877073183152","1763971465870008320","slicexofxlifes"
"1791826967739949152","Sat May 18 13:43:34 +0000 2024","1","terutama moril ya. gue tuh heran banget kenapa sih generasi di atas gen z pada nyinyir banget kalo generasi kita nih lebih peduli soal kesehatan mental? padahal kalo kesehatan mental seseorang gak dipiara dengan baik ketidaksehatan itu bisa 'nurun' ke anaknya","1791826969975513555","","minhoritas","in","미리 미안하지만 나 여기 잃어버리고 있어","0","1","0","https://x.com/minhoritas/status/1791826969975513555","1652696864872108033","minhoritas"
"1791767126497501503","Sat May 18 09:45:47 +0000 2024","0","Iya bangget lagi Sy ngerasain hal itu Pas di percaya pimpinan cari SDM baru di kantor Generasi gen Z Banyak ngeluhnya daripada kerjanya Ntar dirasa capek Berenti Ga mau menikmati proses Dari bawah menuju puncak tu Alasannya berenti Demi kesehatan mental Mental tempe","1791767126497501503","","","in","","0","0","0","https://x.com/ompayon/status/1791767126497501503","1554141582869540864","ompayon"
"1789295751279087869","Sat May 11 14:05:25 +0000 2024","0","INTRODUCE OUT TITLE _Teknologi Soothe: Implementasi Education of Coping (EOC) Untuk Meningkatkan Kesadaran Kesehatan Mental Generasi Z Di SMP Muhammadiyah 10 Yogyakarta_ https://t.co/EGEOdv57Fj","1789295751279087869","https://pbs.twimg.com/media/GNTa__JbEAELjTU.jpg","","in","","0","0","0","https://x.com/pkmpmsoothegame/status/1789295751279087869","1784445995138629632","pkmpmsoothegame"
"1785323496450793922","Tue Apr 30 15:01:05 +0000 2024","0","Kondisi tersebut menyebabkan generasi Z dinilai memiliki tingkat kebahagiaan rendah. Generasi Z cenderung rentan mengalami gangguan kesehatan mental. https://t.co/wMH6l4pSwo","1785323496450793922","","","in","Jakarta","0","0","0","https://x.com/kompascom/status/1785323496450793922","23343960","kompascom"
"1784923601193631959","Mon Apr 29 12:32:03 +0000 2024","0","Generasi Z generasi yang lahir di era digital dihadapkan dengan tingkat kebahagiaan yang rendah dan maraknya kasus gangguan kesehatan mental. https://t.co/55ID43UHBw #GenerasiDigital #GenerasiHappy #Generasimilenial #GenerasiZ #GenX","1784923601193631959","","","in","Surabaya","0","0","0","https://x.com/ngopibareng_id/status/1784923601193631959","1291246080269545472","ngopibareng_id"
"1776950729095401617","Mon Apr 08 00:05:20 +0000 2024","0","@tanyakanrl Zaman kolonial: prinsip yg penting hidup Abisnya generasi kakek nenek/ortu prioritasin dpt uang/get more Gen Z krn hidup di lingk yg udh damai jd lbh fokus ke kesehatan mental. Sibuk menuhin childishnya dulu krn didikan ala² warisan zaman penjajahan","1777125538798469300","","tanyakanrl","in","Indonesia","0","0","0","https://x.com/possileia/status/1777125538798469300","1471841244112297985","possileia"
