created_at,full_text,score,label
Mon Dec 30 07:08:54 +0000 2024,mudah belanja maupun akses produk pinjam kini jadi tantang finansial generasi muda utama gen zmisalnya akses mudah pinjam online kartu kredit,1,Positif
Mon Dec 30 02:09:58 +0000 2024,langkah sederhana investasi gen capai stabilitas finansial genz generasiz investasi saham finansial stabilitas investor bitcoin btc,3,Positif
Sun Dec 29 02:45:40 +0000 2024,langkah mudah mulai investasi buat gen tuju finansial stabil,4,Positif
Sat Dec 28 11:10:45 +0000 2024,assalamu alaikum sahabat syariah tantang sosial sering kali pengaruh gaya hidup kelola uang gen sadar tekan sosial kelola uang bijak bebas finansial bukan sekadar mimpi yuk mulai langkah bijak,4,Positif
Sat Dec 28 07:30:00 +0000 2024,finansial sehat bukan cuma soal punya banyak uang bagaimana kelola tabung investasi bijak gen generasi punya akses banyak peluang tantang yuk mulai peduli sama sehat finansial masa,2,Positif
Sun Dec 22 04:13:11 +0000 2024,gen dihimpit stres american psychological association rasai cemas soal masa depan tekan ekspektasi sosial beban kerja masalah finansial bikin sulit buat mikir jernih ambil putus penting,-1,Negatif
Thu Dec 19 07:14:04 +0000 2024,millennial vs gen vibes beda goals sama samasama paham kalau literasi finansial amp asuransi sepentingitu buat masa depan lebih aman,1,Positif
Thu Dec 19 04:16:58 +0000 2024,gaya hidup minimal kian populer kalang gen survei baru kini banyak anak muda prioritas kualitas banding kuantitas belanja kurang beli barang pribadi imbang finansial emosional,-1,Negatif
Wed Dec 18 14:39:04 +0000 2024,tahugaksih gen siap finansial beli rumah survei jakpat alas lain gen lebih pilih harga sewa lebih murah lokasi strategis atur mutasi kerja mincu coba tanya gen langsung nyata benar lebih pilih sewa,5,Positif
Wed Dec 18 11:09:54 +0000 2024,deinfluencing tren gen bangun sadar finansial,-1,Negatif
Tue Dec 17 04:05:44 +0000 2024,ketidakstabilan ekonomi krisis finansial hantu hampir paruh gen sebut khawatir uang jangka panjang jadi sumber utama cemas studi deloitte global catat lebih gen cemas masa depan finansial,0,Netral
Tue Dec 17 03:06:54 +0000 2024,uang bikin cemas hampir paruh gen khawatir soal masa depan finansial bayang hidup tengah inflasi tinggi amp pasar kerja enggak siapa enggak overthinking overthinkingsolutions digitalwellness,0,Netral
Tue Dec 17 01:43:35 +0000 2024,fenomena pinjol gen rp t tahun banyak buat butuh konsumtif bagaimana biar enggak jebak utang mulai edukasi finansial yuk pinjolbijak baca ulas sini,1,Positif
Mon Dec 16 04:41:43 +0000 2024,survei bilang banyak gen mulai melek finansial rajin bikin jalan budgeting bulan nyisihin dapat tabung amp investasi cari hasil tambah bahkan konsultasi ahli uang keren banget kan,4,Positif
Mon Dec 16 03:27:17 +0000 2024,mau mulai ambil kpr sekarang cari kerja bagus ampun juang finansial stabil dulu enggak sih buat gen,2,Positif
Sat Dec 14 03:55:03 +0000 2024,deinfluencing tren gen bangun sadar finansial,-1,Negatif
Thu Dec 12 09:37:19 +0000 2024,gen suka praktis paylater jadi pilih favorit mampu tawar butuh fleksibilitas finansial,-2,Negatif
Mon Dec 09 14:48:22 +0000 2024,gaya hidup minimal makin gari gen fokus kualitas imbang finansial temu langkahlangkah mulai hidup minimal sini,3,Positif
Sun Dec 08 09:28:17 +0000 2024,gen saat mulai pikir investasi mungkin kamu rasa muda perlu laku investasi padahal makin cepat kamu mulai makin besar potensi kamu raih tuju finansial,4,Positif
Sun Dec 08 05:32:31 +0000 2024,gaya hidup minimal makin gari gen fokus kualitas imbang finansial temu langkahlangkah mulai hidup minimal sini,3,Positif
Wed Dec 04 08:08:31 +0000 2024,idic jawab b generasi visioner susun masa depan finansial eps lps talk prita ghozie gen ajar kelola uang amp jadi gen milik vsi masa depan uang ieiend enda,0,Netral
Tue Dec 03 11:04:40 +0000 2024,izin pak diskusi sekarang finansial plan terlalu ambur adul semenjak jadi fresh graduate,-3,Negatif
Tue Dec 03 05:04:02 +0000 2024,fenomena money dysmorphia mulai hantu gen tren tanda gejala soal finansial uang perlu tahu,-1,Negatif
Mon Dec 02 08:16:12 +0000 2024,paham dasar uang pribadi gen kelola uang saku bikin anggar rajin tabung bijak pakai kredit yuk mulai langkah kecil masa depan finansial besar keuanganpribadi genzmelekfinansial tipsuang literasikeuangan financialfreedom pundigrow,4,Positif
Sun Dec 01 09:03:02 +0000 2024,maaf kak gen millennial baik siksa kumontidak fakta memang lebih resilient gen millennial tumbuh lewat amp era militaristik gwot krisis finansial global covid siksa kumon peran bangun resiliensi sebut masalah,-4,Negatif
Sun Dec 01 07:43:54 +0000 2024,sedang heboh berita kena gen china kerja mulai jam mimpi bebas finansial sedikit gambar gen alphanya deh sekolah apa giat rasah dibandingbandingke angel wes,-1,Negatif
Fri Nov 29 17:48:57 +0000 2024,stabilitas finansial penting buat milenial amp gen era digital catat keluar mulai investasi siap dana darurat ajar literasi uang atur uang sekarang finansial generasiz keuanganpribadi investasi,4,Positif
Fri Nov 29 15:17:12 +0000 2024,financial freedom merdeka finansial rhenald kasali bagi tips gen raih on fire simak ulas lengkap,2,Positif
Fri Nov 29 08:53:08 +0000 2024,gen yuk jadi melek finansial paham cara kelola uang biar masa depan makin cemerlang jangan cuma kerja keras kerja cerdas finansial penting literasikeuangan tipsfinansial genzsmart kelolauang masadepancerah financialfreedom melekfinansial pundigrow,2,Positif
Wed Nov 27 11:55:48 +0000 2024,asuransi mikro jaring kam finansial gen asuransi insurance butuhasuransi beliasuransi asuransimikro genz sukses,2,Positif
Sun Nov 17 11:48:22 +0000 2024,financial freedom vs financial independence istilah finansial sering bahas benar beda loh mana sih lebih cocok buat gen a thread,3,Positif
Sun Nov 17 05:12:07 +0000 2024,rill byonday teman teman buat life balance sehat fisik mental finansial khusus buat gen fun walk hibur aktivitas kuliner byondbybsicfd,1,Positif
Sun Nov 17 05:06:47 +0000 2024,gais byonday ajak nasabah masyarakat buat jaga sehat fisik mental finansial khusus gen lewat fun walk hibur aktivitas kuliner tadi pagi seru banget byondbybsicfd,4,Positif
Wed Nov 13 14:52:31 +0000 2024,sekarang mungkin beda gen milenial cukup paham penting mental health cara ukir kenang manis lewat experience mungkin beli saat usia kondisi finansial produktif,-4,Negatif
Wed Nov 13 04:04:11 +0000 2024,gen empot finansial gue benar pakai tri harga hemat lama puas jogja memang tri paling oke,2,Positif
Sun Nov 10 07:32:28 +0000 2024,guys aku tugas teliti kalian mending angkat tema doom spending jam koma keras finansial niat tuh objek gen aku bingung banget butuh cerah,1,Positif
Sat Nov 09 19:50:56 +0000 2024,jadi gue akhir akhir rajin baca artikel temu fakta seperti gen terlalu diunderestimate perkara finansial tabung memang benar gen se konsumtif enggak nabung,-3,Negatif
Sat Nov 09 12:06:55 +0000 2024,guys tau enggak aplikasi baru nih tawar mudah transaksi finansial sosial spiritual guna gen suka pokok byondbybsi,1,Positif
Thu Nov 07 00:56:32 +0000 2024,memecoin selamat finansial gen circle kali simpan tas jual awal tahun depan fartcoin moodeng popcat mog wif apu aura niggabutt,1,Positif
Wed Nov 06 16:58:57 +0000 2024,idic milenial gen lebih pintar kelola finansial yuk ajar barengbareng biar enggak jerumus praktik transaksi uang rugi,2,Positif
Tue Nov 05 13:04:37 +0000 2024,gen milik banyak untung mudah tawar paylater sangat penting guna layan bijak gen perlu tumpuk hutang milik didik finansial baik kelola uang baik,1,Positif
Tue Nov 05 13:04:26 +0000 2024,gen suka paylater bahkan lebih guna kartu kredit kupas alas popularitas paylater dampak biasa finansial areapintar areapintartrust genz paylater uang digital tren belanja kartu kredit,0,Netral
Mon Nov 04 07:44:06 +0000 2024,ortuku bumn pns anak malah ngefreelance doang generasi memang banyak lebih kejar stabil finansial beda gen banyak lebih utama bebas macam penting enggak jauh allah,-2,Negatif
Sun Nov 03 07:15:25 +0000 2024,kalau ngeluh finansial katai gen,-2,Negatif
Fri Nov 01 07:35:12 +0000 2024,tips finansial kirim dana gen tempuh studi luar negeri,4,Positif
Thu Oct 31 04:50:46 +0000 2024,baru sadar nyata aku tanggung beban finansial bayar subscription iya aku gen,-2,Negatif
Wed Oct 30 18:41:04 +0000 2024,yolo save money masa depan dilema finansial gen lepas gaji,-2,Negatif
Tue Oct 29 08:53:53 +0000 2024,salah satu biasa gen healing hilang a thread invlinic genz finansial uang,-1,Negatif
Tue Oct 29 04:56:03 +0000 2024,hari sumpah pemuda sudah gen melek finansial bisnis muda monfridaychallengeoktober,0,Netral
Tue Oct 29 04:46:07 +0000 2024,makna sumpah pemuda bagaimana tantang gen melek finansial,0,Netral
Mon Oct 28 22:36:35 +0000 2024,gen milenial banyak nikah gen dominasi nikah meni enak kalo finansial cukup dulu utama baru kuat mental,0,Netral
Mon Oct 28 08:00:02 +0000 2024,era serba cashless bikin boros frugal living makin populer teknologi cashless mudah transaksi picu perilaku konsumtif utama kalang gen frugal living jadi solusi keluar bijak bebas finansial cashless genz,2,Positif
Mon Oct 28 05:39:48 +0000 2024,gen susah finansial gaya hidup padan apayang dapat laku,-1,Negatif
Mon Oct 28 04:55:38 +0000 2024,rehat jenak besok discussion presentation quiz rasa tampar banget gen sulit finansial aku malah boros,0,Netral
Mon Oct 28 04:37:10 +0000 2024,hari sumpah pemuda sudah gen melek finansial,0,Netral
